"Publication";"Publication date";"Publication week";"Publication language";"Priority";"Priority date";"First filing date";"International publication";"International application";"International application date";"IPC1-7 further and additional";"IPC 1-7 main";"IPC full level (additional information)";"IPC full level (invention information)";"Inventor (city)";"Inventor (country)";"Applicant / Proprietor (city)";"Applicant / Proprietor (country)";"Representative (city)";"Representative (country)";"Title (en)";"Abstract (en)"
"EP 1900647 A2 20080319";"20080319";"200812";"en";"GR 20060100504 20060908";"20060908";"20060908";"";"";"";"";"";"";"B65D 45/16 (2006.01)";"17676 Kallithea, Athens";"GR";"17676 Kallithea, Athens";"GR";"";"";"Container with a clamping device for holding a lid";"An utensil of one or multiple usage with a safe way of closing the lid. The safe by itself - auto secure - closing for plastic utensils of one or multiply usage, is a new way of closing the utensils so that they can keep their contents without leaking. Its advantages while we carry them as well as the manufacturing production are visible. The way this utensil closes is entirely new and pioneer compared with all the corresponding lid closing. <img file=""imgaf001.tif"" he=""115"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""135""/><img file=""imgaf002.tif"" he=""56"" id=""iaf02"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""75""/><img file=""imgaf003.tif"" he=""56"" id=""iaf03"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""79""/><img file=""imgaf004.tif"" he=""56"" id=""iaf04"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""69""/><img file=""imgaf005.tif"" he=""56"" id=""iaf05"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""88""/>"
"EP 1900647 A3 20080402";"20080402";"200814";"en";"GR 20060100504 20060908";"20060908";"20060908";"";"";"";"";"";"";"B65D 45/16 (2006.01)";"17676 Kallithea, Athens";"GR";"17676 Kallithea, Athens";"GR";"";"";"Container with a clamping device for holding a lid";"An assembly comprising a container and a lid, wherein said container is provided with an integral clip (B) which in a closed configuration engages said lid in a cavity (A) provided in said lid, wherein the clip (B) in a non-closed configuration is part of a rim of said container and is formed by a cut line (D) in said rim. <img file=""imgaf001.tif"" he=""117"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""143""/><img file=""imgaf002.tif"" he=""56"" id=""iaf02"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""75""/><img file=""imgaf003.tif"" he=""56"" id=""iaf03"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""81""/><img file=""imgaf004.tif"" he=""56"" id=""iaf04"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""67""/><img file=""imgaf005.tif"" he=""56"" id=""iaf05"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""85""/>"
"EP 1906931 A1 20080409";"20080409";"200815";"en";"GR 20050100332 20050630";"20050630";"20050630";"WO2007003972 20070111 [2007-02]";"GR2006000033 20060629 (en)";"20060629";"";"";"";"A61K 9/20 (2006.01)
A61K 47/34 (2006.01)
A61K 31/401 (2006.01)";"GR-153 51 Pallini Attikis
GR-153 51 Pallini Attikis
GR-653 02 Kavala
Gr-543 51 Thessaloniki";"GR
GR
GR
GR";"Pallini, Attikis 15351";"GR";"";"";"IMPROVED PHARMACEUTICAL COMPOSITION CONTAINING ACE INHIBITOR AND METHOD FOR THE PREPARATION THEREOF";""
"EP 1906931 B1 20081203";"20081203";"200849";"en";"GR 20050100332 20050630";"20050630";"20050630";"WO2007003972 20070111 [2007-02]";"GR2006000033 20060629 (en)";"20060629";"";"";"";"A61K 9/20 (2006.01)
A61K 47/34 (2006.01)
A61K 31/401 (2006.01)";"GR-153 51 Pallini Attikis
GR-153 51 Pallini Attikis
GR-653 02 Kavala
Gr-543 51 Thessaloniki";"GR
GR
GR
GR";"Pallini, Attikis 15351";"GR";"";"";"IMPROVED PHARMACEUTICAL COMPOSITION CONTAINING ACE INHIBITOR AND METHOD FOR THE PREPARATION THEREOF";""
"EP 1908537 A1 20080409";"20080409";"200815";"en";"GR 20060100545 20061003";"20061003";"20061003";"";"";"";"";"";"B21F 1/00 (2006.01)";"B21D 11/12 (2006.01)";"14562 Kiffisia, Attikis";"GR";"14562 Kiffisia, Attikis";"GR";"9497 Triesenberg";"LI";"Process and System for Production of Three-Dimensional Products From Wire";"A process of production of three-dimensional products from wire (1) or other suitable material, which method may be implemented in a system (8) comprising an advancement mechanism (9), a straightening mechanism (11), a length measuring arrangement (18) towards which advances the material (1), a gripper arrangement (14) suitable to hold the material with fixed grippers (15) and simultaneously with other grippers (16) to twist it to a desired angle around its longitudinal axis (X), and a bending mechanism (12) that can bend the material plastically in one plane and simultaneously can rotate at a desired angle around the longitudinal axis (X) of the wire (1) so that it may generate bends in different planes. The system (8) implementing the process may also carry a cutting arrangement (13). The process of production of three-dimensional products affords the ability of choosing and energizing within the same product shape either the gripper arrangement (14) or the bending mechanism (12) thus providing the flexibility of bettering the times of production of various three-dimensional shapes. <img file=""imgaf001.tif"" he=""143"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""58""/>"
"EP 1908537 B1 20110105";"20110105";"201101";"en";"GR 20060100545 20061003";"20061003";"20061003";"";"";"";"";"";"B21F 1/00 (2006.01)";"B21D 11/12 (2006.01)";"14562 Kiffisia, Attikis";"GR";"14562 Kiffisia, Attikis";"GR";"9497 Triesenberg";"LI";"Process and system for production of three-dimensional products from wire";""
"EP 1912790 A2 20080423";"20080423";"200817";"en";"GR 20050100425 20050811";"20050811";"20050811";"WO2007017508 20070215 [2007-07]";"EP2006065153 20060808 (en)";"20060808";"";"";"";"B32B 27/32 (2006.01)";"GR-320 11 Inofyta Viotia";"GR";"Athen";"GR";"80336 München";"DE";"MULTILAYER TUBE ASSEMBLY AND METHOD FOR PRODUCING THE SAME";""
"EP 1912790 B1 20121205";"20121205";"201249";"en";"GR 20050100425 20050811";"20050811";"20050811";"WO2007017508 20070215 [2007-07]";"EP2006065153 20060808 (en)";"20060808";"";"";"";"B32B 27/32 (2006.01)";"GR-320 11 Inofyta Viotia";"GR";"Athen";"GR";"80336 München";"DE";"MULTILAYER TUBE ASSEMBLY AND METHOD FOR PRODUCING THE SAME";""
"EP 1913887 A1 20080423";"20080423";"200817";"en";"";"";"20061020";"";"";"";"";"";"";"A61B 17/72 (2006.01)";"26500 Rio Patras
26442 Patras
12462 Haidari Attikis
22100 Tripoli Arkadias";"GR
GR
GR
GR";"26500 Rio Patras
26442 Patras
12462 Haidari Attikis
22100 Tripoli Arkadias";"GR
GR
GR
GR";"";"";"Intramedullary leg lengthening nail using shape memory alloys";"The invention is reported in the design; manufacture and the application of intramedullary leg lengthening nail with variable length, manufactured from stainless steel or titanium alloy with the capability of continuous change of its length within predetermined limits and rhythm of elongation. The mechanism of movement /elongation is based on the use of shape memory alloy (7) which by its rotation, turns a mechanism of one way clutcher (8), which turns a screw (3) that moves the two parts (1, 2) in which are incorporated the two mechanisms. A spring (4) between the two parts (1, 2) helps to increase the gap without application of big torsional torque from the shape memory alloy. The activation of the shape memory alloys based on an induction heating system which will be applied on skin of the leg. The intramedullary nail will be used for therapeutic reasons i.e. to increase, after osteotomy, the length of the leg/member in which it has been implanted. The intramedullary nail will be very helpful to establish the loss of bone after car accident, or because of pathological conditions. <img file=""imgaf001.tif"" he=""80"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""135""/>"
"EP 1914399 A1 20080423";"20080423";"200817";"en";"";"";"20061017";"";"";"";"";"";"";"F01N 3/022 (2006.01)
F01N 3/027 (2006.01)
F01N 7/00 (2006.01)
F01N 9/00 (2006.01)
F01N 11/00 (2006.01)
F01N 3/023 (2006.01)";"54352 Thessaloniki";"GR";"Ogaki-shi Gifu 503-8604
54352 Thessaloniki";"JP
GR";"81925 München";"DE";"Exhaust gas purifying apparatus";"An exhaust gas purifying apparatus comprises a primary diesel particulate filter (22) provided in an exhaust line (21) of a diesel engine, a secondary exhaust line (21A) branched from the exhaust line (21) from an upstream side of the primary diesel particulate filter (22), a secondary diesel particulate filter (22A) provided in the secondary exhaust line (21A), the secondary diesel particulate filter (22A) having a soot storage capacity smaller than the soot storage capacity of the primary diesel particulate filter (22), and a differential pressure measuring part measuring a differential pressure between an inlet and an outlet of the secondary diesel particulate filter (22A), wherein a distance to said secondary diesel particulate filter (22A) from a branching point of said secondary exhaust line (21A) from said primary exhaust line (21) is 2m or less. <img file=""imgaf001.tif"" he=""93"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""125""/>"
"EP 1914399 B1 20100310";"20100310";"201010";"en";"";"";"20061017";"";"";"";"";"";"";"F01N 3/022 (2006.01)
F01N 3/027 (2006.01)
F01N 13/00 (2010.01)
F01N 9/00 (2006.01)
F01N 11/00 (2006.01)
F01N 3/023 (2006.01)";"54352 Thessaloniki";"GR";"Ogaki-shi Gifu 503-8604
54352 Thessaloniki";"JP
GR";"81925 München";"DE";"Exhaust gas purifying apparatus";""
"EP 1914399 B8 W1B1 20100512";"20100512";"201019";"en";"";"";"20061017";"";"";"";"";"";"";"F01N 3/022 (2006.01)
F01N 3/027 (2006.01)
F01N 13/00 (2010.01)
F01N 9/00 (2006.01)
F01N 11/00 (2006.01)
F01N 3/023 (2006.01)";"54352 Thessaloniki";"GR";"Ogaki-shi Gifu 503-8604
54352 Thessaloniki";"JP
GR";"81925 München";"DE";"Exhaust gas purifying apparatus";""
"EP 1914536 A1 20080423";"20080423";"200817";"en";"";"";"20061017";"";"";"";"";"";"";"G01N 15/06 (2006.01)
B01D 46/46 (2006.01)
F01N 3/032 (2006.01)";"Thessaloniki 54352";"GR";"Ogaki-shi Gifu 503-8604
54352 Thessaloniki";"JP
GR";"81925 München";"DE";"Particulate matter sensor for exhaust gas purifying apparatus";"A particulate matter detection sensor comprises a particulate matter detection filter and a differential pressure measuring part measuring a differential pressure between an inlet and an outlet of the particulate matter detection filter, wherein the particulate detection filter has a filtration area of 0.1 - 100cm2. <img file=""imgaf001.tif"" he=""114"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""154""/>"
"EP 1914537 A1 20080423";"20080423";"200817";"en";"";"";"20061017";"";"";"";"";"";"";"G01N 15/06 (2006.01)
B01D 46/46 (2006.01)
F01N 3/032 (2006.01)";"Thessaloniki 54352";"GR";"Ogaki-shi Gifu 503-8604
54352 Thessaloniki";"JP
GR";"81925 München";"DE";"Particulate matter sensor";"A particulate matter sensor comprises a particulate matter detection filter having a volumetric soot storage capacity smaller than the volumetric soot storage capacity of a diesel particulate filter, and a differential pressure measuring part measuring a differential pressure between an inlet and an outlet of the particulate matter detection filter. <img file=""imgaf001.tif"" he=""111"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""148""/>"
"EP 1914973 A1 20080423";"20080423";"200817";"en";"";"";"20061016";"";"";"";"";"";"";"H04M 3/56 (2006.01)
H04L 29/06 (2006.01)";"15341, Athens";"GR";"Schaumburg, IL 60196";"US";"Kolonaki 106 74 Athens";"GR";"System and method to provide combinational services to anonymous callers";"A system and method in which a notification is received of a call from a first device to a second device in a first domain. A context is created for the first type of call. A notification is received of initiation of a call from the second device to the first device in a second domain. The call context is utilized to notify the first device of the initiation of the call from the second device to the first device. <img file=""imgaf001.tif"" he=""126"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""83""/>"
"EP 1915461 A1 20080430";"20080430";"200818";"en";"GR 20050100430 20050817
US 795149 P 20060425";"20050817
20060425";"20050817";"WO2007020081 20070222 [2007-08]";"EP2006008097 20060816 (en)";"20060816";"";"";"";"C12Q 1/68 (2006.01)";"GR-145 75 Athens
GR-115 24 Athens
GR-71 306 Herakleion
GR-71 305 Herakleion";"GR
GR
GR
GR";"145 68 Athens";"GR";"80539 München";"DE";"COMPOSITION AND METHOD FOR DETERMINATION OF CK19 EXPRESSION";""
"EP 1916216 A1 20080430";"20080430";"200818";"en";"GR 20060100585 20061024";"20061024";"20061024";"";"";"";"";"";"";"B66B 11/04 (2006.01)";"17121 N. Smirni";"GR";"17121 N. Smirni";"GR";"";"";"Elevator machine with a hollow electric reducer of volutions which is strained only torsionally";"The invention refers to a passenger lift arrangement where the traction pulley accepts movement from a hollow shaft reducer, which is only strained through torsion, avoiding any bending load. The bending loads remain outside the reducer because they are delivered from the two external supports (1) and (2) that are fitted left and right. The shaft (4) is prolonged outside of any external support in corresponding length and diameter according to the hollow shaft reducer (6) mounting. For the torsion torque reaction the reducer can have a torque arm that connects the reducer to a fixed point or is mounted on a special base, depending on the type of the reducer. <img file=""imgaf001.tif"" he=""120"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""106""/>"
"EP 1916394 A1 20080430";"20080430";"200818";"en";"";"";"20061017";"";"";"";"";"";"";"F01N 9/00 (2006.01)
G01N 15/06 (2006.01)";"54352 Thessaloniki";"GR";"Ogaki-shi Gifu 503-8604
54352 Thessaloniki";"JP
GR";"81925 München";"DE";"Exhaust gas purifying apparatus, exhaust gas purifying method, and particulate matter measuring method";"An exhaust gas purifying apparatus comprises a primary diesel particulate filter (22) provided in an exhaust line (21) of a diesel engine, a secondary exhaust line (21A) branched from the exhaust line from an upstream side of the primary diesel particulate filter (22), a secondary diesel particulate filter (22A) provided in the secondary exhaust line (21A), the secondary diesel particulate filter (22A) having a soot storage capacity smaller than the soot storage capacity of the primary diesel particulate filter (22), and a differential pressure measuring part (22B) measuring a differential pressure between an inlet and an outlet of the secondary diesel particulate filter (22A). <img file=""imgaf001.tif"" he=""95"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""126""/>"
"EP 1916394 B1 20090325";"20090325";"200913";"en";"";"";"20061017";"";"";"";"";"";"";"F01N 9/00 (2006.01)
G01N 15/06 (2006.01)";"54352 Thessaloniki";"GR";"Ogaki-shi Gifu 503-8604
54352 Thessaloniki";"JP
GR";"81925 München";"DE";"Exhaust gas purifying apparatus, exhaust gas purifying method, and particulate matter measuring method";""
"EP 1918358 A1 20080507";"20080507";"200819";"en";"";"";"20061011";"";"";"";"";"";"";"C11C 3/00 (2006.01)
C11C 3/12 (2006.01)
C10L 1/02 (2006.01)";"13121  llion, Athens
18542 Palaia Kokkinia, Peireas
14232 Nea Ionia, Athens
11473 Athens";"GR
GR
GR
GR";"40589 Düsseldorf
10676 Athens";"DE
GR";"40551 Düsseldorf";"DE";"Process for the partial hydrogenation of fatty acid esters";"Suggested is a process for the manufacture of unsaturated fatty acid alkyl esters or glycerides having a total content of C18:1 of about 30 to about 80 Mol-% by partial hydrogenation of unsaturated fatty acid esters having a total content of (C18:2+C18:3) of at least 65 Mol-% - calculated on the total amount of C18 moieties in the ester - which is characterised in that the hydrogenation is conducted in an aqueous/organic two phase system in the presence of a water soluble catalyst consisting of a Group VIII metal and a hydrophilic ligand."
"EP 1918358 B1 20120801";"20120801";"201231";"en";"";"";"20061011";"";"";"";"";"";"";"C11C 3/00 (2006.01)
C11C 3/12 (2006.01)
C10L 1/02 (2006.01)";"13121  llion, Athens
18542 Palaia Kokkinia, Peireas
14232 Nea Ionia, Athens
11473 Athens";"GR
GR
GR
GR";"40589 Düsseldorf
10676 Athens";"DE
GR";"40589 Düsseldorf";"DE";"Process for the partial hydrogenation of fatty acid esters";""
"EP 1919785 A1 20080514";"20080514";"200820";"en";"GR 20050100327 20050629";"20050629";"20050629";"WO2007000616 20070104 [2007-01]";"GR2006000029 20060622 (en)";"20060622";"";"";"";"B65D 8/00 (2006.01)
B65D 21/02 (2006.01)";"21100 Nafplion";"GR";"21100 Nafplion";"GR";"";"";"COMPLEX TRAY WITH REUSABLE PARTS";""
"EP 1919785 B1 20130102";"20130102";"201301";"en";"GR 20050100327 20050629";"20050629";"20050629";"WO2007000616 20070104 [2007-01]";"GR2006000029 20060622 (en)";"20060622";"";"";"";"B65D 8/00 (2006.01)
B65D 21/02 (2006.01)";"112 54 Athens";"GR";"112 54 Athens";"GR";"";"";"COMBINATION OF AN EXTRACTION TOOL AND A COMPLEX TRAY WITH REUSABLE PARTS";""
"EP 1919817 A1 20080514";"20080514";"200820";"en";"GR 20050100340 20050701";"20050701";"20050701";"WO2007003971 20070111 [2007-02]";"GR2006000031 20060627 (en)";"20060627";"";"";"";"B66F 3/22 (2006.01)";"GR-546 31 Thessaloniki";"GR";"GR-546 31 Thessaloniki";"GR";"";"";"RIGID TELESCOPIC MECHANISM";""
"EP 1919817 B1 20101013";"20101013";"201041";"en";"GR 20050100340 20050701";"20050701";"20050701";"WO2007003971 20070111 [2007-02]";"GR2006000031 20060627 (en)";"20060627";"";"";"";"B66F 3/22 (2006.01)";"555 35 Pylaia, Thessaloniki";"GR";"555 35 Pylaia, Thessaloniki";"GR";"";"";"RIGID TELESCOPIC MECHANISM";""
"EP 1921289 A1 20080514";"20080514";"200820";"en";"EP 06386032 20061017
JP 2007209681 20070810
US 853623 20070911";"20061017
20070810
20070911";"20061017";"";"";"";"";"";"";"F01N 9/00 (2006.01)
G01N 15/06 (2006.01)";"Thessaloniki 54352";"GR";"Ogaki-shi Gifu 503-8604
54352 Thessaloniki";"JP
GR";"81925 München";"DE";"Exhaust gas purifying apparatus for measuring particles";"An exhaust gas purifying apparatus comprises a primary diesel particulate filter (22) provided in a primary exhaust line (21) of a diesel engine, a secondary exhaust line (21A) branched from said primary exhaust line (21) from a branching point located at an upstream side of the primary diesel particulate filter (22), a secondary diesel particulate filter (22A) provided in the secondary exhaust line (21A), the secondary diesel particulate filter (22A) having a soot load capacity smaller than the soot load capacity of the primary diesel particulate filter (22), a low pressure part provided in said secondary exhaust line (21A) at a downstream side of said secondary diesel particulate filter (22A), said low pressure part providing a pressure lower than a pressure of said branching point, and a differential pressure measuring part (22B) measuring a differential pressure between an inlet and an outlet of the secondary diesel particulate filter (22A). <img file=""imgaf001.tif"" he=""82"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""111""/>"
"EP 1921289 B1 20081210";"20081210";"200850";"en";"EP 06386032 20061017
JP 2007209681 20070810
US 853623 20070911";"20061017
20070810
20070911";"20061017";"";"";"";"";"";"";"F01N 9/00 (2006.01)
G01N 15/06 (2006.01)";"Thessaloniki 54352";"GR";"Ogaki-shi Gifu 503-8604
54352 Thessaloniki";"JP
GR";"81925 München";"DE";"Exhaust gas purifying apparatus for measuring particles";""
"EP 1922245 A1 20080521";"20080521";"200821";"en";"GR 20050100431 20050817";"20050817";"20050817";"WO2007020480 20070222 [2007-08]";"GR2006000041 20060817 (en)";"20060817";"";"";"";"B63B 1/12 (2006.01)
B63B 1/24 (2006.01)";"165 62 Ano Glifada";"GR";"165 62 Ano Glifada";"GR";"";"";"OPEN SEA HYDROFOIL CRAFT";""
"EP 1924258 A1 20080528";"20080528";"200822";"en";"GR 20050100466 20050914";"20050914";"20050914";"WO2007031801 20070322 [2007-12]";"GR2006000046 20060913 (en)";"20060913";"";"";"";"A61K 31/40 (2006.01)
A61K 31/404 (2006.01)
A61K 9/20 (2006.01)
A61K 9/48 (2006.01)
A61P 3/06 (2006.01)";"GR-153 51 Pallini Attikis
GR-153 51 Pallini Attikis
GR-543 51 Thessaloniki";"GR
GR
GR";"Pallini, Attikis 15351";"GR";"";"";"IMPROVED PHARMACEUTICAL COMPOSITION CONTAINING HMG-CoA REDUCTASE INHIBITOR AND METHOD FOR THE PREPARATION THEREOF";""
