"Publication";"Publication date";"Publication week";"Publication language";"Priority";"Priority date";"First filing date";"International publication";"International application";"International application date";"IPC1-7 further and additional";"IPC 1-7 main";"IPC full level (additional information)";"IPC full level (invention information)";"Inventor (city)";"Inventor (country)";"Applicant / Proprietor (city)";"Applicant / Proprietor (country)";"Representative (city)";"Representative (country)";"Title (en)";"Abstract (en)"
"EP 0475876 A2 19920318";"19920318";"199212";"en";"GR 90010605 19900810";"19900810";"19900810";"";"";"";" 5B 01D  46/16   B
 5B 01D  45/16   B
 5B 01D  45/12   B
 5B 01D  45/04   B
 5B 01D  45/00   B
 5B 01D  47/10   B
 5B 01D  53/26   B";" 5B 01D  51/08   A";"";"";"GR-413 35 Larissa";"GR";"GR-413 35 Larissa";"GR";"102 10 Athens";"GR";"Method and mechanism for the supersonic separation of droplets from a gas stream";"In the present invention separation is effected by means of a convergent-divergent nozzle, in which the divergent portion is convex. A supersonic flow of a gas-droplets mixture is introduced into the convergent-divergent nozzle and at the throat thereof a normal shock wave occurs and results to an abrupt change in the speed and direction of gas flow, which becomes subsonic and follows the geometry of the convex divergent portion. The droplets are inertially separated from the gas stream and two flow zones emerge, one zone free from droplets and one enriched with droplets, these two zones being subsequently separated by a separator plate (16). Henceforth, a conventional subsonic separator is used to receive the liquid formed by the separated droplets, whereas the zone of gas flow being free from droplets converge to be subsequently used in any desired manner.<img file=""imgaf001.tif"" he=""113"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""77""/>"
"EP 0475876 A3 19920513";"19920513";"199220";"en";"GR 90010605 19900810";"19900810";"19900810";"";"";"";" 5B 01D  46/16   B
 5B 01D  45/16   B
 5B 01D  45/12   B
 5B 01D  45/04   B
 5B 01D  45/00   B
 5B 01D  47/10   B
 5B 01D  53/26   B";" 5B 01D  51/08   A";"";"";"GR-413 35 Larissa";"GR";"GR-413 35 Larissa";"GR";"102 10 Athens";"GR";"Method and mechanism for the supersonic separation of droplets from a gas stream";"In the present invention separation is effected by means of a convergent-divergent nozzle, in which the divergent portion is convex. A supersonic flow of a gas-droplets mixture is introduced into the convergent-divergent nozzle and at the throat thereof a normal shock wave occurs and results to an abrupt change in the speed and direction of gas flow, which becomes subsonic and follows the geometry of the convex divergent portion. The droplets are inertially separated from the gas stream and two flow zones emerge, one zone free from droplets and one enriched with droplets, these two zones being subsequently separated by a separator plate (16). Henceforth, a conventional subsonic separator is used to receive the liquid formed by the separated droplets, whereas the zone of gas flow being free from droplets converge to be subsequently used in any desired manner.<img file=""imgaf001.tif"" he=""113"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""77""/>"
"EP 0480116 A1 19920415";"19920415";"199216";"en";"";"";"19901010";"";"";"";"";" 5B 01J  12/00   A";"";"";"Aroi, Patras
GR-26225 Patras
GR-26442 Patras
Zavlani, Patras";"GR
GR
GR
GR";"Aroi, Patras
GR-26225 Patras
GR-26442 Patras
Zavlani, Patras";"GR
GR
GR
GR";"GR-106 72 Athens";"GR";"Use of Metal-solid electrolyte catalysts";"The invention refers to the use of porous conductive (metallic or oxidic) films in contact with a solid electrolyte (e.g. stabilized zirconia or β""-Al2O3) for the catalytic conversion of chemical compounds to other chemical compounds via external or internal application of an electrical potential or current between the conductive catalyst film and a second counter electrode film also in contact with the solid electrolyte. This set-up permits easy application of the recently discovered phenomenon of Non-Faradaic Electrochemical Modification of Catalytic Activity (NEMCA) for the improvement of catalytic properties (activity, selectivity) of metals and conductive metal oxides."
"EP 0480116 B1 19960724";"19960724";"199630";"en";"";"";"19901010";"";"";"";"";" 6B 01J  12/00   A";"";"";"Aroi, Patras
GR-26225 Patras
GR-26442 Patras
Zavlani, Patras";"GR
GR
GR
GR";"Aroi, Patras
GR-26225 Patras
GR-26442 Patras
Zavlani, Patras";"GR
GR
GR
GR";"GR-106 72 Athens";"GR";"Use of Metal-solid electrolyte catalysts";""
"EP 0497933 A1 19920812";"19920812";"199233";"en";"GR 19900010063 19900824";"19900824";"19900824";"WO1992003185 19920305 [1992-06]";"GR1991000011 19910725 (en)";"19910725";"";"";"";"A61N 2/ 02 (    .  )
A61N 2/ 04 (    .  )";"GR-681 00 Alexandroupolis
GR-671 00 Xanthi
GR-151 Marousi";"GR
GR
GR";"GR-681 00 Alexandroupolis
GR-671 00 Xanthi
GR-151 Marousi";"GR
GR
GR";"GR-106 80 Athens";"GR";"ELECTRONIC DEVICE FOR SMOOTHING DYSFUNCTIONS OF THE CENTRAL NERVOUS SYSTEM IN CONJUNCTION WITH THE USE OF BIOMAGNETOMETER";""
"EP 0497933 B1 19990324";"19990324";"199912";"en";"GR 90010063 19900824";"19900824";"19900824";"WO9203185 19920305 [1992-06]";"GR9100011 19910725 (en)";"19910725";"";" 6A 61N   2/04   A";"";"";"GR-681 00 Alexandroupolis
GR-671 00 Xanthi
GR-151 Marousi";"GR
GR
GR";"GR-681 00 Alexandroupolis
GR-671 00 Xanthi
GR-151 Marousi";"GR
GR
GR";"106 80 Athens";"GR";"ELECTRONIC DEVICE FOR SMOOTHING DYSFUNCTIONS OF THE CENTRAL NERVOUS SYSTEM";""
"EP 0526382 A1 19930203";"19930203";"199305";"en";"US 709453 19910603";"19910603";"19910603";"";"";"";" 5B 29C  53/60   B";" 5B 29D  23/22   A";"";"";"GR-116 33 Athens
100 75 Athens";"GR
GR";"GR-116 33 Athens
100 75 Athens";"GR
GR";"100 10 Athens";"GR";"Apparatus and method for the production of reinforced flexible hoses";"Apparatus for the production and proper calibration of improved flexible hoses made by a soft thermoplastic material reinforced with a continuous spiral of rigid thermoplastic material. During their production the hoses do not rotate but are produced linearly and in their internal surface no longitudinal grooves are engraved. The melted coaxial materials are discharged through a rotating mechanism to a calibration unit which rotates with it and bears peripherally special inclined rollers on which is transmitted, via an epicyclic gearing system, a controlled rotation opposite to the above direction. On this calibration unit the plastic hose is formed successively advancing linearly forward.<img file=""imgaf001.tif"" he=""86"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""104""/>"
"EP 0526382 B1 19981028";"19981028";"199844";"en";"US 709453 19910603";"19910603";"19910603";"";"";"";" 6B 29C  53/60   B";" 6B 29D  23/24   A";"";"";"116 33 Athens";"GR";"116 33 Athens
100 75 Athens";"GR
GR";"152 35 Vrilisia";"GR";"Apparatus and method for the production of reinforced flexible hoses";""
"EP 0550701 A1 19930714";"19930714";"199328";"en";"GR 20100100069 19910208";"19910208";"19910208";"WO1992013730 19920820 [1992-22]";"GR1992000001 19920206 (en)";"19920206";"";"";"";"B60C 23/ 02 (    .  )
B60C 23/ 04 (    .  )
G01L 17/ 00 (    .  )";"GR-671 00 Xanthi";"GR";"GR-671 00 Xanthi";"GR";"GR-102 10 Athens";"GR";"AN INDICATOR OF THE ABNORMAL AND NORMAL PNEUMATIC TYRE PRESSURE DURING THE DRIVING OR STOPPING OF A VEHICLE";""
"EP 0550701 B1 19961016";"19961016";"199642";"en";"GR 10100069 19910208";"19910208";"19910208";"WO9213730 19920820 [1992-22]";"GR9200001 19920206 (en)";"19920206";"";" 6B 60C  23/04   A";"";"";"GR-671 00 Xanthi";"GR";"GR-671 00 Xanthi";"GR";"102 10 Athens";"GR";"AN INDICATOR OF THE ABNORMAL AND NORMAL PNEUMATIC TYRE PRESSURE DURING THE DRIVING OR STOPPING OF A VEHICLE";""
"EP 0556530 A1 19930825";"19930825";"199334";"en";"GR 91010509 19911223";"19911223";"19911223";"";"";"";"";" 5G 09B  11/04   A";"";"";"GR-104 37 Athens";"GR";"GR-104 37 Athens";"GR";"106 74 Athens";"GR";"Technique of manufacturing sheets upon which letters, words, numbers or drawings are printed and deeply indented and a handwriting and drawing learning method";"Technique of manufacturing sheets in exercise book format upon which letters, numbers and drawings and handwriting and drawing learning methods are a) printed and b) deeply indented, whereby one sheet (1) of paper or cardboard disolays letters, numbers or drawings (4) in printed colour on the left side and is deeply indented on the right side, and the pupil writes directly in pencil upon the non-coloured indentations (2) the letters, numbers or drawings (4) indented on the sheet and learns handwriting and drawing on his own without tiring parent or teacher.<img file=""imgaf001.tif"" he=""94"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""77""/>"
"EP 0565477 A1 19931013";"19931013";"199341";"en";"GR 92010055 19920213";"19920213";"19920213";"";"";"";"";" 5A 41H   3/00   A";"";"";"GR-54638 Thessaloniki";"GR";"GR-54638 Thessaloniki";"GR";"106 74 Athens";"GR";"Industrial pattern grading template";"The present invention relates to an industrial pattern grading template and a method for using such a template for the upgrading or downgrading of all types and parts of a garment,concurrently in all the internationally standardized sizes. Both the template and the method for using it are appropriate for vocational technical training and professional use in the mass production of garments. With the present invention,starting from a single initial size,the concurrent construction of all the required size variations of the different parts of a garment is achieved,with simplicity,certainty and absolute precision, in minimal time without geometry and complex calculations. The template (10) has two sides and a plurality of elongate apertures (12) of variable length and direction. These apertures (12) are adjusted to the basic points of a garment pattern block, they have appropriate subdivisions and scales of proportionate grading for the grading of every part of a garment.<img file=""imgaf001.tif"" he=""110"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""88""/>"
"EP 0565477 B1 19990901";"19990901";"199935";"en";"GR 92010055 19920213";"19920213";"19920213";"";"";"";"";" 6A 41H   3/00   A";"";"";"GR-54638 Thessaloniki";"GR";"GR-54638 Thessaloniki";"GR";"106 74 Athens";"GR";"Industrial pattern grading template";""
"EP 0566519 A1 19931020";"19931020";"199342";"en";"GR 92010131 19920403";"19920403";"19920403";"";"";"";" 5F 16B   7/18   B";" 5E 04B   1/19   A";"";"";"Galatsi
Galatsi";"GR
GR";"GR-111 47 Athens";"GR";"GR-106 73 Athens";"GR";"Discoidal junction and parts for the connection of rods for sectional constructions";"A system of parts, through which partitions, outdoor shelters, ceilings and constructions for sectional furniture and the similar, are made by assemblage of them.
The main part is a junction (fig. 1), which consists of the disk 1 and the two disks 2, which are assembled to each other by a bolt 3 and a nut 4. On disks 1 and 2, which bear radial lines 5, tighteners 8, 9, 12 and 22, 23, 24 are tightened on which rods 16 or 28 are mounted and by which the partitions, shelves and the similar are formed.<img file=""imgaf001.tif"" he=""80"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""75""/>"
"EP 0589120 A1 19940330";"19940330";"199413";"en";"";"";"19920922";"";"";"";"";" 5E 04H   6/06   A";"";"";"GR-122 41 Egaleo Attikis
GR-122 41 Egaleo Attikis";"GR
GR";"GR-122 41 Egaleo Attikis";"GR";"GR-114 00 Athens";"GR";"Vehicles mechanical parking systems with hydraulic folding fan-like elevation";"The semi underground vehicles parking system with hydraulic folding fan-like elevation consists of two platforms (2,3) kept parallel one to another during motion. The mechanism (4) moves the platforms (2,3) so that they can alternatevily brine their back edge to ground level (23) and be accessed by vehicles for entrance and exit. For a vehicle's entrance or exit from or to a platform there is no need to move the other platform's vehicle.<img file=""imgaf001.tif"" he=""66"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""160""/>"
"EP 0603446 A1 19940629";"19940629";"199426";"en";"";"";"19921202";"";"";"";" 5C 10J   3/10   B
 5C 10J   3/06   B";" 5C 07C   1/00   A";"";"";"Aghia Paraskevi
GR-116 33 Athens
GR-190 03 Markopoulo
GR-112 55 Athens
GR-111 44 Athens
GR-167 77 Hellinikon
GR-111 46 Athens";"GR
GR
GR
GR
GR
GR
GR";"104 32 Athens";"GR";"106 74 Athens";"GR";"Allothermal method for the gasification of solid fuels in a rotary kiln";"The present invention concerns a new gasification method of solid fuels of any quality. The method is characterized in that the gasification is carried out in an indirectly heated rotary kiln, using as the gasification agent the steam produced from drying of the solid fuel itself, which is taking place inside the gasification chamber and -if necessary- additional steam from an outside source. The maximum gasification temperatures may range from 650-1000°C, and the operating pressure inside the kiln is slightly lower than the ambient. The method is capable of gasifying solid fuels of any quality with no limitations regarding the moisture content or the particle size of the fuel, and regardless of whether it can be ignited and burnt as fed. The method is especially suitable for the gasification of low quality coals, like for example the Greek coal, that cannot be gasified without pre-treatment using the classical industrial gasification methods, because of its very low content of combustible matter and its high moisture and ash contents.<img file=""imgaf001.tif"" he=""100"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""158""/>"
"EP 0609638 A1 19940810";"19940810";"199432";"en";"GR 92010479 19921027";"19921027";"19921027";"";"";"";" 5C 08F 218/12   B";" 5A 01N  25/10   A";"";"";"GR-71408 Alikarnassos, Iraklion
GR-71202 Iraklio
Moscow 125047
Moscow 141018
Baku 370073";"GR
GR
RU
RU
AZ";"GR-71408 Alikarnassos, Iraklion
GR-71202 Iraklio
Moscow 125047
Moscow 141018
Baku 370073";"GR
GR
RU
RU
AZ";"712 01 Iraklion";"GR";"Water soluble polymeric systems of phytohormones with slow release: synthesis and application";"Our discovery concerns the method of synthesis and the application of new chemical products for plant growing. These new products are polymeric derivatives of low molecular weight plant growth regulators and are characterized by slow release of the auxin from the polymeric carrier. By copolymerisation of allylic esters of the low molecular weight auxins with the acrylic (or the methylacrylic) acid and the following modification of the synthesized co-polymers of acids to their corresponding ammonium salts, water soluble polymeric auxins possesing optimal molecular weight and desirable (high) content of the low molecular weight auxin in the polymer were prepared. The method of synthesis and the final products fulfill the requirements of the preparation technology and of their application respectively. We suggest the application of the new products in agronomy (i.e. treatment of seeds, rootstocks, plants, scions, cutting etc) either by themselves or by combination of them with other chemicals. The chemical structure of the new products we discover is : <img file=""imga0001.tif"" he=""35"" id=""ia01"" img-content=""chem"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""70""/>     R = H-, -CH3, Au = auxin residue<img file=""imgaf001.tif"" he=""184"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""134""/>"
"EP 0615730 A1 19940921";"19940921";"199438";"en";"GR 92010514 19921125";"19921125";"19921125";"";"";"";"";" 5A 61C   8/00   A";"";"";"GR-15669 Papagos (Athens)";"GR";"GR-15669 Papagos (Athens)";"GR";"GR-341 00 Chalkida";"GR";"Subperiosteally bone-integrated implant";"The Subperiosteally bone-integrated implant is made of titanium, is shaped as a curved ""H"" and comprises two surfaces: a) the lower or internal (1) and b) the upper or external (2). The lower or internal surface (1) comes into contact with the bone of the jaws when it is implated, it is curved, frequently has different curvature so that it can fit the underlying bone and consists of two curved horns (3) and (4), which bear a spike (9) and (10) in their middle and are connected to each other through a connective bar (5) which bears a small cylinder (6) in its middle. The upper or external (2) bears on each horn a rounded prominence (11) and (12) and the upper surface of the cylinder (6) bears internal thread (7) in order to receive the supragingival post on complation of the implantation. This structure is accompanied by a) a model of the implant (13) made of acrylic resin and b) a celluloid sheet (15) (TEMPLATE).<img file=""imgaf001.tif"" he=""85"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""76""/>"
"EP 0625042 A1 19941123";"19941123";"199447";"en";"GR 19920100490 19921105";"19921105";"19921105";"WO1994009758 19940511 [1994-11]";"GR1993000018 19931018 (en)";"19931018";"";"";"";"A23G 9/ 32 (    .  )
A23G 9/ 36 (    .  )
A23G 9/ 44 (    .  )
A23G 9/ 46 (    .  )
A23G 9/ 48 (    .  )
A23G 9/ 52 (    .  )
A61J 3/ 07 (    .  )
A61K 9/ 00 (    .  )
A61K 9/ 20 (    .  )
A61K 9/ 26 (    .  )
A61K 9/ 50 (    .  )";"GR-146 71 Kastri
GR-146 71 Kastri";"GR
GR";"GR-146 71 Kastri
GR-146 71 Kastri";"GR
GR";"GR-106 74 Athens";"GR";"CONFECTIONERY DELIVERY SYSTEM FOR PHARMACEUTICALLY ACTIVE SUBSTANCES";""
"EP 0653910 A1 19950524";"19950524";"199521";"en";"GR 19930100228 19930604";"19930604";"19930604";"WO1994028705 19941222 [1994-28]";"GR1994000012 19940603 (en)";"19940603";"";"";"";"E21C 41/ 32 (    .  )
A01B 79/ 02 (    .  )
A01G 1/ 00 (    .  )
A01G 9/ 24 (    .  )
C05D 3/ 02 (    .  )
C05F 11/ 02 (    .  )
C05G 3/ 04 (    .  )";"GR-151 32 Marousi";"GR";"GR-105 59 Athens";"GR";"GR-115 28 Athens";"GR";"METHOD OF CULTIVATION OF COAL AND LIGNITE INFIELDS FORMED BY UNCOVERING (OPEN CAST MINING)";""
"EP 0654072 A1 19950524";"19950524";"199521";"en";"GR 19930100227 19930604";"19930604";"19930604";"WO1994029410 19941222 [1994-28]";"GR1994000011 19940603 (en)";"19940603";"";"";"";"C10J 3/ 58 (    .  )
C10J 3/ 62 (    .  )
F01K 23/ 06 (    .  )";"GR-151 32 Marousi";"GR";"GR-105 59 Athens";"GR";"GR-115 28 Athens";"GR";"GASIFICATION OF LOW CALORIFIC VALUE SOLID FUELS TO PRODUCE ELECTRIC ENERGY";""
