"Publication";"Publication date";"Publication week";"Publication language";"Priority";"Priority date";"First filing date";"International publication";"International application";"International application date";"IPC1-7 further and additional";"IPC 1-7 main";"IPC full level (additional information)";"IPC full level (invention information)";"Inventor (city)";"Inventor (country)";"Applicant / Proprietor (city)";"Applicant / Proprietor (country)";"Representative (city)";"Representative (country)";"Title (en)";"Abstract (en)"
"EP 2627660 A1 20130821";"20130821";"201334";"en";"GB 201017392 20101014";"20101014";"20101014";"WO2012049257 20120419 [2012-16]";"EP2011067906 20111013 (en)";"20111013";"";"";"";"C07H 1/08 (2006.01)
C07H 3/02 (2006.01)";"26676 Barssel
Sinnamon Park, Queensland 4073
78357 Mühlingen
GR-55131 Thessaloniki
Miami, Florida 33173
S-23343 Svedala
F-44770 La Plaine sur Mer
22457 Hamburg
H-5100 Jászberény
H-2098 Pilisszentkereszt
78628 Rottweil
H-1158 Budapest";"DE
AU
DE
GR
US
SE
FR
DE
HU
HU
DE
HU";"2800 Kgs. Lyngby";"DK";"London WC1V 6HR";"GB";"METHOD FOR PRODUCING L-FUCOSE";""
"EP 2640408 A2 20130925";"20130925";"201339";"en";"US 414748 P 20101117";"20101117";"20101117";"WO2012068376 20120524 [2012-21]";"US2011061190 20111117 (en)";"20111117";"";"";"";"A61K 38/18 (2006.01)
A61K 47/36 (2006.01)";"Winston-Salem North Carolina 27104
GR-15234 Athens";"US
GR";"Winston-Salem, NC 27101";"US";"Glasgow G2 7JS";"GB";"KERATIN COMPOSITIONS FOR TREATMENT OF BONE DEFICIENCY OR INJURY";""
"EP 2640408 B1 20160525";"20160525";"201621";"en";"US 414748 P 20101117";"20101117";"20101117";"WO2012068376 20120524 [2012-21]";"US2011061190 20111117 (en)";"20111117";"";"";"";"A61K 38/18 (2006.01)
A61K 47/36 (2006.01)
A61P 19/08 (2006.01)";"Winston-Salem North Carolina 27104
15234 Athens";"US
GR";"Winston-Salem, NC 27101";"US";"Glasgow G2 7JS";"GB";"KERATIN COMPOSITIONS FOR TREATMENT OF BONE DEFICIENCY OR INJURY";""
"EP 2642594 A2 20130925";"20130925";"201339";"en";"US 201261614066 P 20120322
US 201213600098 20120830";"20120322
20120830";"20120322";"";"";"";"";"";"";"H01Q 1/38 (2006.01)
H01Q 15/00 (2006.01)";"Irvine, CA 92617
08024 Barcelona
14562 Kifisia";"US
ES
GR";"Irvine, CA 92617";"US";"80639 München";"DE";"Programmable antenna having a programmable substrate";"An antenna circuit includes a substrate, an antenna, and a projected artificial magnetic mirror (PAMM). The antenna is fabricated on the substrate and is positioned in a region of the substrate that has a high permittivity. The PAMM produces an artificial magnetic conductor at a distance above a surface of the substrate to facilitate a radiation pattern for the antenna. <img file=""imgaf001.tif"" he=""51"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""165""/>"
"EP 2642594 A3 20131030";"20131030";"201344";"en";"US 201261614066 P 20120322
US 201213600098 20120830";"20120322
20120830";"20120322";"";"";"";"";"";"";"H01Q 1/38 (2006.01)
H01Q 15/00 (2006.01)";"Irvine, CA 92617
08024 Barcelona
14562 Kifisia";"US
ES
GR";"Irvine, CA 92617";"US";"80639 München";"DE";"Programmable antenna having a programmable substrate";"An antenna circuit includes a substrate, an antenna, and a projected artificial magnetic mirror (PAMM). The antenna is fabricated on the substrate and is positioned in a region of the substrate that has a high permittivity. The PAMM produces an artificial magnetic conductor at a distance above a surface of the substrate to facilitate a radiation pattern for the antenna. <img file=""imgaf001.tif"" he=""64"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""165""/>"
"EP 2642594 B1 20180905";"20180905";"201836";"en";"US 201261614066 P 20120322
US 201213600098 20120830";"20120322
20120830";"20120322";"";"";"";"";"";"";"H01Q 1/38 (2006.01)
H01Q 15/00 (2006.01)";"Irvine, CA 92617
08024 Barcelona
14562 Kifisia";"US
ES
GR";"Singapore 768923";"SG";"80639 München";"DE";"Programmable antenna having a programmable substrate";""
"EP 2649801 B1 20150415";"20150415";"201516";"en";"EP 10194580 20101210";"20101210";"20101210";"WO2012076203 20120614 [2012-24]";"EP2011065192 20110902 (en)";"20110902";"";"";"";"H04N 19/00 (2014.01)";"34100 Chalkida
13437 Berlin
10249 Berlin
59427 Unna
10405 Berlin";"GR
DE
DE
DE
DE";"53113 Bonn";"DE";"81675 München";"DE";"METHOD AND APPARATUS FOR OBJECTIVE VIDEO QUALITY ASSESSMENT BASED ON CONTINUOUS ESTIMATES OF PACKET LOSS VISIBILITY";""
"EP 2650929 A1 20131016";"20131016";"201342";"en";"GB 201016193 20100927";"20100927";"20100927";"";"";"";"";"";"";"H01L 31/058 (2006.01)
H01L 41/113 (2006.01)
H02N 2/18 (2006.01)";"Bolton, Lancashire BL3 5AB
Manchester, Lancashire M26 1GY
13123 Ilion
59700 Muratli/Tekirdag";"GB
GB
GR
TR";"Bolton, Lancashire BL3 5AB";"GB";"Manchester M3 2JA";"GB";"Hybrid energy conversion device";"A power conversion system for converting solar and mechanical energy into electrical energy comprises a piezoelectric-photovoltaic structure having a photovoltaic element and a piezoelectric element, a first circuit connected to the piezoelectric element, and a second circuit connected to the photovoltaic element. At least one of the first and second circuits is connected to a DC-DC converter. <img file=""imgaf001.tif"" he=""92"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""78""/>"
"EP 2650929 B1 20170104";"20170104";"201701";"en";"GB 201016193 20100927";"20100927";"20100927";"";"";"";"";"";"";"H02S 40/30 (2014.01)
H02S 10/10 (2014.01)
H01L 41/113 (2006.01)
H02N 2/18 (2006.01)";"Bolton, Lancashire BL3 5AB
Manchester, Lancashire M26 1GY
13123 Ilion
59700 Muratli/Tekirdag";"GB
GB
GR
TR";"Bolton, Lancashire BL3 5AB";"GB";"Manchester M3 2JA";"GB";"Hybrid energy conversion device";""
"EP 2667863 A1 20131204";"20131204";"201349";"en";"GR 20110100037 20110127
GB 201102411 20110211
US 201161441940 P 20110211";"20110127
20110211
20110211";"20110127";"WO2012101440 20120802 [2012-31]";"GB2012050157 20120126 (en)";"20120126";"";"";"";"A61K 31/121 (2006.01)
A61P 23/02 (2006.01)";"Basingstoke Hampshire RG21 7PG
GR-54 124 Thessaloniki
GR-54 124 Thessaloniki";"GB
GR
GR";"Basingstoke Hampshire RG21 7PG";"GB";"London EC1N 2DY";"GB";"LOCAL ANAESTHETIC";""
"EP 2667863 B1 20161130";"20161130";"201648";"en";"GR 20110100037 20110127
GB 201102411 20110211
US 201161441940 P 20110211";"20110127
20110211
20110211";"20110127";"WO2012101440 20120802 [2012-31]";"GB2012050157 20120126 (en)";"20120126";"";"";"";"A61K 31/121 (2006.01)
A61P 23/02 (2006.01)";"Basingstoke Hampshire RG21 7PG
GR-54 124 Thessaloniki
GR-54 124 Thessaloniki";"GB
GR
GR";"Basingstoke Hampshire RG21 7PG";"GB";"London EC1N 2DY";"GB";"LOCAL ANAESTHETIC";""
"EP 2668762 A1 20131204";"20131204";"201349";"en";"BE 201100043 20110126";"20110126";"20110126";"WO2012171081 20121220 [2012-51]";"BE2012000001 20120126 (nl)";"20120126";"";"";"";"H04L 29/06 (2006.01)";"B-9830 Sint-Martens Latem
B-9090 Melle";"BE
BE";"9090 Melle";"BE";"54249 Thessaloniki";"GR";"DEVICE AND METHOD FOR PROVIDING AUTHENTICATED ACCESS TO INTERNET BASED SERVICES AND APPLICATIONS";""
"EP 2670574 A1 20131211";"20131211";"201350";"en";"BE 201100068 20110203";"20110203";"20110203";"WO2012103604 20120809 [2012-32]";"BE2012000008 20120201 (en)";"20120201";"";"";"";"B29C 45/27 (2006.01)";"B-9070 Destelbergen
B-9070 Destelbergen";"BE
BE";"9230 Wetteren";"BE";"542 49 Thessaloniki";"GR";"INJECTION MOLDING APPARATUS FOR MANUFACTURING HOLLOW OBJECTS, IN PARTICULAR PLASTIC PREFORMS, RESP. CONTAINERS AND METHOD THEREFOR";""
"EP 2670574 B1 20160420";"20160420";"201616";"en";"BE 201100068 20110203";"20110203";"20110203";"WO2012103604 20120809 [2012-32]";"BE2012000008 20120201 (en)";"20120201";"";"";"";"B29C 45/16 (2006.01)";"B-9070 Destelbergen
B-9070 Destelbergen";"BE
BE";"9230 Wetteren";"BE";"542 49 Thessaloniki";"GR";"INJECTION MOLDING APPARATUS FOR MANUFACTURING MULTILAYERED HOLLOW OBJECTS, IN PARTICULAR PLASTIC PREFORMS, RESP. CONTAINERS AND METHOD THEREFOR";""
"EP 2673046 A2 20131218";"20131218";"201351";"fr";"BE 201100082 20110209";"20110209";"20110209";"WO2012106782 20120816 [2012-33]";"BE2012000007 20120209 (fr)";"20120209";"";"";"";"A61N 5/10 (2006.01)
A61B 6/08 (2006.01)";"F-77410 Villeroy";"FR";"1050 Bruxelles";"BE";"54249 Thessaloniki";"GR";"METHOD OF CONTROL AND OF POSITIONING WITH THE AID OF LASER SYSTEMS, AND DEVICE FOR IMPLEMENTING SAID METHOD";""
"EP 2673046 B1 20180530";"20180530";"201822";"fr";"BE 201100082 20110209";"20110209";"20110209";"WO2012106782 20120816 [2012-33]";"BE2012000007 20120209 (fr)";"20120209";"";"";"";"A61N 5/10 (2006.01)
A61B 6/08 (2006.01)";"77410 Villeroy";"FR";"1180 Bruxelles";"BE";"54249 Thessaloniki";"GR";"METHOD OF CONTROL AND OF POSITIONING WITH THE AID OF LASER SYSTEMS, AND DEVICE FOR IMPLEMENTING SAID METHOD";""
"EP 2677524 B1 20180905";"20180905";"201836";"en";"GR 20120100325 20120619
US 201213552240 20120718";"20120619
20120718";"20120619";"";"";"";"";"";"";"H01C 7/12 (2006.01)
H01T 1/16 (2006.01)";"66100 Drama
66100 Drama
17673 Athens
14565 Athens
16673 Athens";"GR
GR
GR
GR
GR";"Nicosia";"CY";"Bristol BS1 6HU";"GB";"Overvoltage protection devices including a varistor member and an electrical conductive fusing member";""
"EP 2683361 A1 20140115";"20140115";"201403";"en";"";"";"20110310";"WO2012120338 20120913 [2012-37]";"IB2011051015 20110310 (en)";"20110310";"";"";"";"A61K 9/08 (2006.01)
A61K 31/055 (2006.01)";"GR-19500 Lavrion, Attica
GR-19500 Lavrion, Attica";"GR
GR";"8002 Zürich";"CH";"5600 AP Eindhoven";"NL";"METHOD FOR THE PREPARATON OF A LEVOTHYROXINE SOLUTION";""
"EP 2683361 B1 20151125";"20151125";"201548";"en";"";"";"20110310";"WO2012120338 20120913 [2012-37]";"IB2011051015 20110310 (en)";"20110310";"";"";"";"A61K 9/08 (2006.01)
A61K 31/055 (2006.01)";"GR-19500 Lavrion, Attica
GR-19500 Lavrion, Attica";"GR
GR";"8002 Zürich";"CH";"5600 AP Eindhoven";"NL";"METHOD FOR THE PREPARATON OF A LEVOTHYROXINE SOLUTION";""
"EP 2688513 A1 20140129";"20140129";"201405";"en";"US 201113069341 20110322";"20110322";"20110322";"WO2012126120 20120927 [2012-39]";"CA2012050177 20120322 (en)";"20120322";"";"";"";"A61C 19/06 (2006.01)
A61K 8/22 (2006.01)
A61K 8/24 (2006.01)
A61Q 11/00 (2006.01)";"I-63038 Grottammare Ascoli Piceno
GR-14562 Athens
Laval Québec H7T 1V3";"IT
GR
CA";"Montreal, QC H2Y 2J7";"CA";"Bristol BS1 6HU";"GB";"DEVICE AND METHOD FOR TEETH BRIGHTENING";""
"EP 2696865 A2 20140219";"20140219";"201408";"en";"US 201161475179 P 20110413
US 201213446416 20120413";"20110413
20120413";"20110413";"WO2012142474 20121018 [2012-42]";"US2012033610 20120413 (en)";"20120413";"";"";"";"A61K 31/197 (2006.01)
A61K 31/195 (2006.01)
A61P 25/08 (2006.01)
A61P 25/00 (2006.01)";"Phoenix, AZ 85048
630 80 New Kallikratia";"US
GR";"Phoenix, AZ 85048";"US";"Dublin 2";"IE";"N-ACETYL BETA ALANINE METHODS OF USE";""
"EP 2696865 B1 20161221";"20161221";"201651";"en";"US 201161475179 P 20110413
US 201213446416 20120413";"20110413
20120413";"20110413";"WO2012142474 20121018 [2012-42]";"US2012033610 20120413 (en)";"20120413";"";"";"";"A61K 31/197 (2006.01)
A61K 31/195 (2006.01)
A61P 25/08 (2006.01)
A61P 25/00 (2006.01)";"Phoenix, AZ 85048
630 80 New Kallikratia";"US
GR";"Phoenix, AZ 85048";"US";"Dublin 2, D02 PX51";"IE";"N-ACETYL BETA ALANINE METHODS OF USE";""
"EP 2697239 A1 20140219";"20140219";"201408";"en";"GB 201106095 20110411";"20110411";"20110411";"WO2012140576 20121018 [2012-42]";"IB2012051759 20120411 (en)";"20120411";"";"";"";"C07H 5/06 (2006.01)
C07H 15/18 (2006.01)";"55131 Thessaloniki
Sinnamon Park, QLD 4073
1221 Budapest
23343 Svedala
78357 Mühlingen";"GR
AU
HU
SE
DE";"2800 Kgs. Lyngby";"DK";"London WC1V 6HR";"GB";"N-SUBSTITUTED MANNOSAMINE DERIVATIVES, PROCESS FOR THEIR PREPARATION AND THEIR USE";""
"EP 2701256 B1 20161221";"20161221";"201651";"en";"GR 20120100429 20120822
US 201213595092 20120827";"20120822
20120827";"20120822";"";"";"";"";"";"";"H02H 3/10 (2006.01)
H02H 3/20 (2006.01)
H02H 7/22 (2006.01)
H02H 3/02 (2006.01)
H02H 3/08 (2006.01)
H02H 9/04 (2006.01)";"17673 Athens
66100 Drama
66100 Drama
14565 Athens
16671 Athens";"GR
GR
GR
GR
GR";"Nicosia";"CY";"Bristol BS1 6HU";"GB";"Devices and methods for overvoltage protection";""
"EP 2704089 A2 20140305";"20140305";"201410";"en";"EP 12386020 20120831
US 201313790054 20130308";"20120831
20130308";"20120831";"";"";"";"";"";"";"G06Q 30/06 (2012.01)
G06Q 30/02 (2012.01)";"Unley Park, SA 5061
Adelaide, SA 5000
14562 Attiki
TK17343 Athens";"AU
AU
GR
GR";"Dublin 4";"IE";"81671 München";"DE";"Hybrid recommendation system";"A hybrid recommendation system uses offline testing and online testing to generate and optimize recommendation functions. The functions generate recommendations which may be presented online for product purchases. Indices are created from the recommendations. Lookups may be performed on the indices to select recommendations for a particular user. The selected recommendations may be filtered before presenting to the user. <img file=""imgaf001.tif"" he=""103"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""144""/>"
"EP 2704089 A3 20140319";"20140319";"201412";"en";"EP 12386020 20120831
US 201313790054 20130308";"20120831
20130308";"20120831";"";"";"";"";"";"";"G06Q 30/06 (2012.01)
G06Q 30/02 (2012.01)";"Unley Park, SA 5061
Adelaide, SA 5000
14562 Attiki
TK17343 Athens";"AU
AU
GR
GR";"Dublin 4";"IE";"80639 München";"DE";"Hybrid recommendation system";"A hybrid recommendation system uses offline testing and online testing to generate and optimize recommendation functions. The functions generate recommendations which may be presented online for product purchases. Indices are created from the recommendations. Lookups may be performed on the indices to select recommendations for a particular user. The selected recommendations may be filtered before presenting to the user. <img file=""imgaf001.tif"" he=""91"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""130""/>"
"EP 2709460 A1 20140326";"20140326";"201413";"en";"NL 2006823 20110520";"20110520";"20110520";"WO2012161572 20121129 [2012-48]";"NL2012050350 20120518 (en)";"20120518";"";"";"";"A23C 9/13 (2006.01)
A23C 9/15 (2006.01)
A23C 13/16 (2006.01)
A23C 17/00 (2006.01)
A23C 19/09 (2006.01)
A23D 7/005 (2006.01)
A23L 1/30 (2006.01)
A23L 1/302 (2006.01)
A23L 1/304 (2006.01)
A23L 1/305 (2006.01)
A61K 31/122 (2006.01)
A61K 33/06 (2006.01)
A23C 9/152 (2006.01)
A23C 9/158 (2006.01)";"NL-7418 BA Deventer
NL-6709 PA Wageningen
GR-15125 Maroussi";"NL
NL
GR";"3818 LE  Amersfoort";"NL";"2517 JR Den Haag";"NL";"COMPOSITION COMPRISING VITAMIN K2";""
"EP 2709848 A1 20140326";"20140326";"201413";"en";"BE 201100296 20110516";"20110516";"20110516";"WO2013000043 20130103 [2013-01]";"BE2012000025 20120516 (nl)";"20120516";"";"";"";"B41F 17/00 (2006.01)
B41F 35/00 (2006.01)
B05C 1/02 (2006.01)
B41M 1/14 (2006.01)
B41M 1/40 (2006.01)";"9880 Aalter
9230 Wetteren";"BE
BE";"9880 Aalter
9230 Wetteren";"BE
BE";"542 49 Thessaloniki";"GR";"PAD PRINTING SYSTEM AND METHOD THEREFOR";""
"EP 2714271 A1 20140409";"20140409";"201415";"en";"US 201113114156 20110524";"20110524";"20110524";"WO2012161943 20121129 [2012-48]";"US2012036485 20120504 (en)";"20120504";"";"";"";"B01J 23/882 (2006.01)
B01J 37/02 (2006.01)
B01J 37/06 (2006.01)
B01J 37/34 (2006.01)
B01J 21/06 (2006.01)
H01M 4/90 (2006.01)";"Dhahran 31311
Dhahran 31311
GR-P.C. 26331 Patras
GR-P.C. 26335 Patras
GR-P.C. 26504 Rion (Aktaion) Patras";"SA
SA
GR
GR
GR";"Dhahran 31311";"SA";"20122 Milano";"IT";"BIMETALLIC TITANIA-BASED ELECTROCATALYSTS DEPOSITED ON IONIC CONDUCTORS FOR HYDRODESULFURIZATION REACTIONS";""
"EP 2716279 A1 20140409";"20140409";"201415";"en";"";"";"20121004";"";"";"";"";"";"";"A61K 9/08 (2006.01)
A61K 47/10 (2006.01)
A61K 31/47 (2006.01)
A61K 9/00 (2006.01)";"15235 Vrilissia, Attika";"GR";"Egham, Surrey TW20 9EY";"GB";"80802 München";"DE";"Oral solutions containing leukotriene antagonists";"Stable oral pharmaceutical solutions comprising montelukast sodium as active ingredient, a combination of two alcohols, namely propylene glycol and ethanol, in certain concentration ranges and a pharmaceutically acceptable buffer, wherein the pH of the solution is between 7.5 and 9.0."
"EP 2718087 A2 20140416";"20140416";"201416";"en";"EP 11164378 20110429
BE 201100303 20110518";"20110429
20110518";"20110429";"WO2012145803 20121101 [2012-44]";"BE2012000022 20120502 (en)";"20120502";"";"";"";"B29C 49/00 (2006.01)
B29C 49/22 (2006.01)
B65D 81/24 (2006.01)
B29C 45/18 (2006.01)";"B-9070 Destelbergen
B-9070 Destelbergen
1000 Ljubljana
1000 Ljubljana";"BE
BE
SI
SI";"9230 Wetteren";"BE";"542 49 Thessaloniki";"GR";"POLYMER PRODUCT AND METHOD OF MANUFACTURING THE PRODUCT";""
"EP 2718088 A2 20140416";"20140416";"201416";"en";"BE 201100303 20110518";"20110518";"20110518";"WO2013000044 20130103 [2013-01]";"BE2012000027 20120521 (nl)";"20120521";"";"";"";"B29C 49/00 (2006.01)
B29C 49/22 (2006.01)
B65D 81/24 (2006.01)
B29C 45/18 (2006.01)
B29C 45/16 (2006.01)
B65D 81/26 (2006.01)
B65D 81/30 (2006.01)";"B-9070 Destelbergen
B-9070 Destelbergen";"BE
BE";"9230 Wetteren";"BE";"54249 Thessaloniki";"GR";"HOLLOW OBJECTS, IN PARTICULAR PLASTIC PREFORMS HAVING A BARRIER LAYER AND METHOD OF INJECTION MOULDING THE OBJECTS AND APPARATUS FOR MANUFACTURING THE OBJECTS";""
"EP 2718088 B1 20160413";"20160413";"201615";"en";"BE 201100303 20110518";"20110518";"20110518";"WO2013000044 20130103 [2013-01]";"BE2012000027 20120521 (nl)";"20120521";"";"";"";"B29C 49/00 (2006.01)
B29C 49/22 (2006.01)
B65D 81/24 (2006.01)
B29C 45/18 (2006.01)
B29C 45/16 (2006.01)
B65D 81/26 (2006.01)
B65D 81/30 (2006.01)";"B-9070 Destelbergen
B-9070 Destelbergen";"BE
BE";"9230 Wetteren";"BE";"54249 Thessaloniki";"GR";"METHOD OF INJECTION MOULDING OBJECTS AND APPARATUS FOR MANUFACTURING THE OBJECTS";""
"EP 2719544 B1 20151216";"20151216";"201551";"en";"";"";"20121010";"";"";"";"";"";"C25D 3/38 (2006.01)
C25D 11/38 (2006.01)";"B41C 1/18 (2006.01)
B41N 1/20 (2006.01)
C25D 5/10 (2006.01)
C25D 5/36 (2006.01)
C25D 5/48 (2006.01)
C25D 7/04 (2006.01)";"14574 Rodopoli Attikis";"GR";"4061 Sousse Cedex";"TN";"2594 AC The Hague";"NL";"Method of manufacturing rotogravure cylinders";""
"EP 2722136 A1 20140423";"20140423";"201417";"en";"";"";"20121019";"";"";"";"";"";"";"B25J 9/16 (2006.01)";"12243 Egaleo
15669 Papagou
LU7 4WL Leigthon Buzzard
70597 Sonenberg";"GR
GR
GB
DE";"70563 Stuttgart";"DE";"70188 Stuttgart";"DE";"Method for in-line calibration of an industrial robot, calibration system for performing such a method and industrial robot comprising such a calibration system";"The invention refers to a method for in-line calibration of an industrial robot (1). The robot (1) comprises a fixed base section (2) and a multi chain link robot arm (3). The chain links (4) are interconnected and connected to the base section (2) of the robot (1), respectively, by means of articulated joints (5). An end effector (6) of the robot arm (3) can be moved in respect to the base section (2) within a three-dimensional workspace into any desired location. The idea is to move the end effector (6) into a predefined calibration location and to determine characteristic parameters of the robot (1) for that location. The characteristic parameters are compared to previously acquired values of the corresponding parameters for that calibration location. The differences between the characteristic parameters of the current location and the previously acquired parameters are used for correcting the kinematic model of the robot (1) and during normal operation of the robot (1) to enhance the accuracy of movement of the distal end (6). The end effector (6) is moved exactly into the calibration location by means of an iterative closed loop control process, in which light sources (7) fixedly connected to the end effector (6) emit light rays which impact on at least one optical position sensor (12) fixedly positioned in respect to the robot base (2). The end effector (6) is moved such that the actual ray positions (20) on the sensors (12) are moved to a predefined position (20') corresponding to the predefined calibration location by means of the iterative process. <img file=""imgaf001.tif"" he=""58"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""84""/>"
"EP 2722369 A1 20140423";"20140423";"201417";"en";"";"";"20121017";"";"";"";"";"";"";"C09C 1/30 (2006.01)";"8032 Zürich
45332 Ioannina
8057 Zürich";"CH
GR
CH";"8092 Zurich";"CH";"";"";"Hybrid nanoantioxidant materials";"The invention provides coated or functionalized or surface modified nanoparticles having a coating of gallic acid and a silica core, preferably where said core and said coating is covalently bond by a linker. Further the invention provides articles comprising such nanoparticles; to methods of manufacturing such nanoparticles and to uses of such nanoparticles. <img file=""imgaf001.tif"" he=""124"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""94""/>"
"EP 2729183 A1 20140514";"20140514";"201420";"en";"EP 11173281 20110708";"20110708";"20110708";"WO2013007660 20130117 [2013-03]";"EP2012063326 20120706 (en)";"20120706";"";"";"";"A61K 51/08 (2006.01)
A61K 31/7056 (2006.01)
A61K 31/265 (2006.01)
A61K 45/06 (2006.01)
A61P 35/00 (2006.01)
A61K 101/02 (2006.01)
A61K 103/10 (2006.01)
A61K 103/20 (2006.01)";"152 33 Halandri Athens
152 33 Halandri Athens
3137 TN Vlaardingen";"GR
GR
NL";"Saint Louis, MO 63108";"US";"2517 GK Den Haag";"NL";"ENHANCED IN VIVO TARGETING OF RADIOLABELLED PEPTIDES WITH THE MEANS OF ENZYME INHIBITORS";""
"EP 2729183 B1 20180905";"20180905";"201836";"en";"EP 11173281 20110708";"20110708";"20110708";"WO2013007660 20130117 [2013-03]";"EP2012063326 20120706 (en)";"20120706";"";"";"";"A61K 51/08 (2006.01)
A61K 31/7056 (2006.01)
A61K 31/265 (2006.01)
A61K 31/7028 (2006.01)
A61K 45/06 (2006.01)
A61P 35/00 (2006.01)
A61K 101/02 (2006.01)
A61K 103/10 (2006.01)
A61K 103/20 (2006.01)";"152 33 Halandri Athens
152 33 Halandri Athens
3137 TN Vlaardingen";"GR
GR
NL";"Wilmington, DE 19808";"US";"2594 AC The Hague";"NL";"ENHANCED IN VIVO TARGETING OF RADIOLABELLED PEPTIDES WITH THE MEANS OF ENZYME INHIBITORS";""
"EP 2730130 A1 20140514";"20140514";"201420";"en";"US 201113178432 20110707";"20110707";"20110707";"WO2013006254 20130110 [2013-02]";"US2012042859 20120618 (en)";"20120618";"";"";"";"H04W 48/08 (2009.01)";"GR-15354 Athens
Swindon Wiltshire SN48EB";"GR
GB";"Libertyville, IL 60048";"US";"London WC1X 8BT";"GB";"WIRELESS COMMUNICATION DEVICE, WIRELESS COMMUNICATION SYSTEM, AND RELATED METHODS";""
"EP 2731890 A1 20140521";"20140521";"201421";"en";"BE 201100429 20110708";"20110708";"20110708";"WO2013006927 20130117 [2013-03]";"BE2012000038 20120709 (en)";"20120709";"";"";"";"B65D 79/00 (2006.01)";"B-9070 Destelbergen
B-9070 Destelbergen";"BE
BE";"9230 Wetteren";"BE";"542 49 Thessaloniki";"GR";"CONTAINER WITH CLOSURE HAVING AN INTERNAL MEMBRANE AND METHOD FOR MANUFACTURING THEREOF";""
"EP 2740075 A1 20140611";"20140611";"201424";"en";"US 201161514083 P 20110802";"20110802";"20110802";"WO2013019992 20130207 [2013-06]";"US2012049396 20120802 (en)";"20120802";"";"";"";"G06K 9/62 (2006.01)";"Washington, DC 20015
Chevy Chase, MD 20815
GR-15773 Athens";"US
US
GR";"Washington, DC 20375";"US";"1062 XK Amsterdam";"NL";"SYSTEM AND METHOD FOR REMOTE FULL FIELD THREE-DIMENSIONAL DISPLACEMENT AND STRAIN MEASUREMENTS";""
"EP 2740817 A1 20140611";"20140611";"201424";"en";"";"";"20121205";"";"";"";"";"";"";"C23C 16/24 (2006.01)
C23C 16/509 (2006.01)
H01L 31/18 (2006.01)
H01L 21/02 (2006.01)";"91270 VIGNEUX SUR SEINE
91140 VILLEBON S/YVETTE
26442 PATRAS
26442 PATRAS";"FR
FR
GR
GR";"75007 Paris";"FR";"75321 Paris Cedex 07";"FR";"Microcrystalline silicon thin film PECVD using hydrogen and silanes mixtures";"This invention describes the improvement of silicon thin film deposition, more specifically the capability to deposit microcrystalline silicon thin film which properties are suitable for a photovoltaic application in a tandem structure at increased deposition rate. This deposition is carried out under ""soft"" deposition conditions which are finely tuned, including mixtures of hydrogen and silanes. <img file=""imgaf001.tif"" he=""97"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""115""/>"
"EP 2749418 A1 20140702";"20140702";"201427";"en";"";"";"20121231";"";"";"";"";"";"";"B41F 33/00 (2006.01)
G06K 19/06 (2006.01)";"14564 Kifissia/Athens";"GB";"18346 Moschato/Athens";"GR";"";"";"Print fidelity control method and device in production lines of solid and corrugated carton boxes, and advertising displays made of paper";"Print fidelity control method in production lines of solid and corrugated carton boxes and in advertising displays made of paper, which comprises photographing with digital cameras of colored barcode symbols of the DATAMATRIX type (10) contained within a frame (9) of a photograph taken of the print layout and decoding the same with a system of qualitative characterization, which detects a marginally imperfect alignment of the monochrome images constituting the overall colored image and a marginal loss of print fidelity of its constituent colors. The qualitative characterization system includes means of performance of measurements characteristic of the print fidelity parameter on the one hand, such as of the average value of the contrast of dark or light cells or of their difference or of the standard deviation of these values, and means of performance of measurements characteristics of the parameter of the degree of alignment between the monochrome, individual images, such as of the standard deviation of the position of dark cells from their ideal position within the matrix of each DATAMATRIX symbol and means for decoding, comparing and acceptance of DATAMATRIX symbols if and when the measured values lie within the limits of standard predetermined values. <img file=""imgaf001.tif"" he=""91"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""113""/>"
"EP 2750967 A1 20140709";"20140709";"201428";"en";"EP 11181618 20110916";"20110916";"20110916";"WO2013037968 20130321 [2013-12]";"EP2012068142 20120914 (en)";"20120914";"";"";"";"B63C 7/16 (2006.01)
B63C 7/22 (2006.01)";"I-21026 Gavirate
GR-TP.26442 Patras";"IT
GR";"1049 Brussels";"BE";"8001 Strassen";"LU";"DEVICE FOR COLLECTING AND TEMPORARILY STORING FLUIDS FROM AN UNDERWATER SOURCE";""
